rank	score	gene_symbol	gene_identifier
1.0	0.0326	PGAP1	ENSG00000197121
2.0	0.0321	CDK13	ENSG00000065883
3.0	0.0312	ZBTB18	ENSG00000179456
4.0	0.0298	HIBCH	ENSG00000198130
5.0	0.0287	MED12L	ENSG00000144893
6.0	0.0278	ZEB2	ENSG00000169554
7.0	0.0277	DYNC1I2	ENSG00000077380
8.0	0.0266	GET4	ENSG00000239857
9.0	0.0264	DPYD	ENSG00000188641
10.0	0.0251	EARS2	ENSG00000103356
11.0	0.024	ATRX	ENSG00000085224
13.0	0.0239	TBC1D23	ENSG00000036054
13.0	0.0239	EPG5	ENSG00000152223
14.0	0.0238	DBT	ENSG00000137992
15.0	0.0237	NDE1	ENSG00000072864
16.0	0.0234	FRA10AC1	ENSG00000148690
17.0	0.0223	SMARCA4	ENSG00000127616
18.0	0.0222	SMARCD1	ENSG00000066117
19.0	0.022	YARS1	ENSG00000134684
20.0	0.0218	ABAT	ENSG00000183044
21.0	0.0213	ZNF148	ENSG00000163848
22.0	0.0211	SLC30A9	ENSG00000014824
23.0	0.021	SHANK3	ENSG00000251322
24.0	0.0206	CIT	ENSG00000122966
25.0	0.0204	KAT6B	ENSG00000156650
26.0	0.0202	SLC12A6	ENSG00000140199
27.0	0.0201	NDUFAF5	ENSG00000101247
29.0	0.0196	DNM1	ENSG00000106976
29.0	0.0196	PYCR2	ENSG00000143811
36.0	0.0194	MT-CO1	ENSG00000198804
36.0	0.0194	MT-CO2	ENSG00000198712
36.0	0.0194	MT-CO3	ENSG00000198938
36.0	0.0194	MT-ND1	ENSG00000198888
36.0	0.0194	MT-ND4	ENSG00000198886
36.0	0.0194	MT-ND5	ENSG00000198786
36.0	0.0194	MT-ND6	ENSG00000198695
37.0	0.0193	CDK8	ENSG00000132964
39.0	0.0191	POLR2A	ENSG00000181222
39.0	0.0191	PPP2R1A	ENSG00000105568
44.0	0.0189	FCSK	ENSG00000157353
44.0	0.0189	COX7B	ENSG00000131174
44.0	0.0189	HCCS	ENSG00000004961
44.0	0.0189	NDUFB11	ENSG00000147123
44.0	0.0189	SPEN	ENSG00000065526
46.0	0.0188	NARS2	ENSG00000137513
46.0	0.0188	TRAPPC12	ENSG00000171853
48.0	0.0185	AP1G1	ENSG00000166747
48.0	0.0185	SLC12A2	ENSG00000064651
50.0	0.0183	DCHS1	ENSG00000166341
50.0	0.0183	FAT4	ENSG00000196159
63.0	0.0182	ASPM	ENSG00000066279
63.0	0.0182	CASZ1	ENSG00000130940
63.0	0.0182	GABRD	ENSG00000187730
63.0	0.0182	HSPG2	ENSG00000142798
63.0	0.0182	KCNAB2	ENSG00000069424
63.0	0.0182	LUZP1	ENSG00000169641
63.0	0.0182	MMP23B	ENSG00000189409
63.0	0.0182	PDPN	ENSG00000162493
63.0	0.0182	PRDM16	ENSG00000142611
63.0	0.0182	PRKCZ	ENSG00000067606
63.0	0.0182	RERE	ENSG00000142599
63.0	0.0182	SKI	ENSG00000157933
63.0	0.0182	UBE4B	ENSG00000130939
64.0	0.0178	NFIB	ENSG00000147862
65.0	0.0176	DPYSL5	ENSG00000157851
66.0	0.0174	RTTN	ENSG00000176225
67.0	0.0172	ADAT3	ENSG00000213638
69.0	0.0171	ARX	ENSG00000004848
69.0	0.0171	TUBB3	ENSG00000198211
70.0	0.017	POMK	ENSG00000185900
72.0	0.0169	EHMT1	ENSG00000181090
72.0	0.0169	SLC25A19	ENSG00000125454
