symbol	hgncId	ncbiGeneId	ensemblGeneId
ASAH2	HGNC:18860	56624	ENSG00000188611
ASAH2B	HGNC:23456	653308	ENSG00000204147
ASAP1	HGNC:2720	50807	ENSG00000153317
ASAP2	HGNC:2721	8853	ENSG00000151693
ASAP3	HGNC:14987	55616	ENSG00000088280
ASB1	HGNC:16011	51665	ENSG00000065802
ASB2	HGNC:16012	51676	ENSG00000100628
ASB3	HGNC:16013	51130	ENSG00000115239
ASB4	HGNC:16009	51666	ENSG00000005981
ASB5	HGNC:17180	140458	ENSG00000164122
ASB6	HGNC:17181	140459	ENSG00000148331
ASB7	HGNC:17182	140460	ENSG00000183475
ASB8	HGNC:17183	140461	ENSG00000177981
ASB9	HGNC:17184	140462	ENSG00000102048
ASB11	HGNC:17186	140456	ENSG00000165192
ASB12	HGNC:19763	142689	ENSG00000198881
ASB13	HGNC:19765	79754	ENSG00000196372
ASB14	HGNC:19766	142686	ENSG00000239388
ASB15	HGNC:19767	142685	ENSG00000146809
ASB16	HGNC:19768	92591	ENSG00000161664
ASB17	HGNC:19769	127247	ENSG00000154007
ASB18	HGNC:19770	401036	ENSG00000182177
ASCC2	HGNC:24103	84164	ENSG00000100325
ASCL2	HGNC:739	430	ENSG00000183734
ASCL3	HGNC:740	56676	ENSG00000176009
ASCL4	HGNC:24311	121549	ENSG00000187855
ASCL5	HGNC:33169	647219	ENSG00000232237
ASDURF	HGNC:53619	110599588	ENSG00000286053
ASF1A	HGNC:20995	25842	ENSG00000111875
ASF1B	HGNC:20996	55723	ENSG00000105011
ASGR1	HGNC:742	432	ENSG00000141505
ASGR2	HGNC:743	433	ENSG00000161944
ASH2L	HGNC:744	9070	ENSG00000129691
ASIC1	HGNC:100	41	ENSG00000110881
ASIC2	HGNC:99	40	ENSG00000108684
ASIC3	HGNC:101	9311	ENSG00000213199
ASIC4	HGNC:21263	55515	ENSG00000072182
ASIC5	HGNC:17537	51802	ENSG00000256394
ASMT	HGNC:750	438	ENSG00000196433
ASMTL	HGNC:751	8623	ENSG00000169093
ASNSD1	HGNC:24910	54529	ENSG00000138381
ASPDH	HGNC:33856	554235	ENSG00000204653
ASPG	HGNC:20123	374569	ENSG00000166183
ASPHD1	HGNC:27380	253982	ENSG00000174939
ASPHD2	HGNC:30437	57168	ENSG00000128203
ASRGL1	HGNC:16448	80150	ENSG00000162174
ASTE1	HGNC:25021	28990	ENSG00000034533
ASTN1	HGNC:773	460	ENSG00000152092
ASTN2	HGNC:17021	23245	ENSG00000148219
ASZ1	HGNC:1350	136991	ENSG00000154438
ATAD2	HGNC:30123	29028	ENSG00000156802
ATAD2B	HGNC:29230	54454	ENSG00000119778
ATAD5	HGNC:25752	79915	ENSG00000176208
ATAT1	HGNC:21186	79969	ENSG00000137343
ATF2	HGNC:784	1386	ENSG00000115966
ATF3	HGNC:785	467	ENSG00000162772
ATF4	HGNC:786	468	ENSG00000128272
ATF5	HGNC:790	22809	ENSG00000169136
ATF6B	HGNC:2349	1388	ENSG00000213676
ATF7	HGNC:792	11016	ENSG00000170653
ATF7IP	HGNC:20092	55729	ENSG00000171681
ATF7IP2	HGNC:20397	80063	ENSG00000166669
ATG2A	HGNC:29028	23130	ENSG00000110046
ATG2B	HGNC:20187	55102	ENSG00000066739
ATG3	HGNC:20962	64422	ENSG00000144848
LSR	HGNC:29572	51599	ENSG00000105699
LST1	HGNC:14189	7940	ENSG00000204482
LTA4H	HGNC:6710	4048	ENSG00000111144
LTAP1	HGNC:29876	25912	ENSG00000143612
LTB	HGNC:6711	4050	ENSG00000227507
LTB4R	HGNC:6713	1241	ENSG00000213903
LTB4R2	HGNC:19260	56413	ENSG00000213906
LTBR	HGNC:6718	4055	ENSG00000111321
LTF	HGNC:6720	4057	ENSG00000012223
LTK	HGNC:6721	4058	ENSG00000062524
LTN1	HGNC:13082	26046	ENSG00000198862
LTO1	HGNC:17589	220064	ENSG00000149716
LUC7L	HGNC:6723	55692	ENSG00000007392
LUC7L2	HGNC:21608	51631	ENSG00000146963
LUC7L3	HGNC:24309	51747	ENSG00000108848
LUM	HGNC:6724	4060	ENSG00000139329
LURAP1	HGNC:32327	541468	ENSG00000171357
LURAP1L	HGNC:31452	286343	ENSG00000153714
LUZP2	HGNC:23206	338645	ENSG00000187398
LUZP4	HGNC:24971	51213	ENSG00000102021
LVRN	HGNC:26904	206338	ENSG00000172901
LXN	HGNC:13347	56925	ENSG00000079257
LY6D	HGNC:13348	8581	ENSG00000167656
LY6E	HGNC:6727	4061	ENSG00000160932
LY6G5B	HGNC:13931	58496	ENSG00000240053
LY6G5C	HGNC:13932	80741	ENSG00000204428
LY6G6C	HGNC:13936	80740	ENSG00000204421
LY6G6D	HGNC:13935	58530	ENSG00000244355
LY6G6F	HGNC:13933	259215	ENSG00000204424
LY6H	HGNC:6728	4062	ENSG00000176956
LY6K	HGNC:24225	54742	ENSG00000160886
LY6L	HGNC:52284	101928108	ENSG00000261667
LY6S	HGNC:54397	105375795	ENSG00000291309
LY9	HGNC:6730	4063	ENSG00000122224
LY75	HGNC:6729	4065	ENSG00000054219
LY86	HGNC:16837	9450	ENSG00000112799
LY96	HGNC:17156	23643	ENSG00000154589
LYAR	HGNC:26021	55646	ENSG00000145220
LYG1	HGNC:27014	129530	ENSG00000144214
LYG2	HGNC:29615	254773	ENSG00000185674
LYL1	HGNC:6734	4066	ENSG00000104903
LYNX1	HGNC:29604	66004	ENSG00000180155
LYPD1	HGNC:28431	116372	ENSG00000150551
LYPD2	HGNC:25215	137797	ENSG00000197353
LYPD3	HGNC:24880	27076	ENSG00000124466
LYPD4	HGNC:28659	147719	ENSG00000273111
LYPD5	HGNC:26397	284348	ENSG00000159871
LYPD6	HGNC:28751	130574	ENSG00000187123
LYPD6B	HGNC:27018	130576	ENSG00000150556
LYPD8	HGNC:44208	646627	ENSG00000259823
LYPLA1	HGNC:6737	10434	ENSG00000120992
LYPLA2	HGNC:6738	11313	ENSG00000011009
LYPLAL1	HGNC:20440	127018	ENSG00000143353
LYRM1	HGNC:25074	57149	ENSG00000102897
LYRM2	HGNC:25229	57226	ENSG00000083099
LYRM9	HGNC:27314	201229	ENSG00000232859
LYSET	HGNC:20218	26175	ENSG00000153485
LYSMD1	HGNC:32070	388695	ENSG00000163155
LYSMD2	HGNC:28571	256586	ENSG00000140280
LYSMD3	HGNC:26969	116068	ENSG00000176018
LYSMD4	HGNC:26571	145748	ENSG00000183060
LYVE1	HGNC:14687	10894	ENSG00000133800
LYZL1	HGNC:30502	84569	ENSG00000120563
LYZL2	HGNC:29613	119180	ENSG00000151033
LYZL4	HGNC:28387	131375	ENSG00000157093
LYZL6	HGNC:29614	57151	ENSG00000275722
LZIC	HGNC:17497	84328	ENSG00000162441
LZTS2	HGNC:29381	84445	ENSG00000107816
LZTS3	HGNC:30139	9762	ENSG00000088899
M6PR	HGNC:6752	4074	ENSG00000003056
MAB21L3	HGNC:26787	126868	ENSG00000173212
MAB21L4	HGNC:26216	79919	ENSG00000172478
MACC1	HGNC:30215	346389	ENSG00000183742
MACIR	HGNC:25052	90355	ENSG00000181751
MACO1	HGNC:25572	55219	ENSG00000204178
MACROD1	HGNC:29598	28992	ENSG00000133315
MACROD2	HGNC:16126	140733	ENSG00000172264
MACROH2A2	HGNC:14453	55506	ENSG00000099284
MAD2L1	HGNC:6763	4085	ENSG00000164109
MAD2L1BP	HGNC:21059	9587	ENSG00000124688
MADCAM1	HGNC:6765	8174	ENSG00000099866
MAEA	HGNC:13731	10296	ENSG00000090316
MAEL	HGNC:25929	84944	ENSG00000143194
MAF1	HGNC:24966	84232	ENSG00000179632
MAFF	HGNC:6780	23764	ENSG00000185022
MAFG	HGNC:6781	4097	ENSG00000197063
MAFK	HGNC:6782	7975	ENSG00000198517
MAGEA1	HGNC:6796	4100	ENSG00000198681
MAGEA2	HGNC:6800	4101	ENSG00000268606
MAGEA2B	HGNC:19340	266740	ENSG00000183305
MAGEA3	HGNC:6801	4102	ENSG00000221867
MAGEA4	HGNC:6802	4103	ENSG00000147381
MAGEA6	HGNC:6804	4105	ENSG00000197172
MAGEA8	HGNC:6806	4107	ENSG00000156009
MAGEA9	HGNC:6807	4108	ENSG00000123584
MAGEA9B	HGNC:31909	728269	ENSG00000267978
MAGEA10	HGNC:6797	4109	ENSG00000124260
MAGEA11	HGNC:6798	4110	ENSG00000185247
MAGEA12	HGNC:6799	4111	ENSG00000213401
MAGEB1	HGNC:6808	4112	ENSG00000214107
MAGEB2	HGNC:6809	4113	ENSG00000099399
MAGEB3	HGNC:6810	4114	ENSG00000198798
MAGEB4	HGNC:6811	4115	ENSG00000120289
MAGEB5	HGNC:23795	347541	ENSG00000188408
MAGEB6	HGNC:23796	158809	ENSG00000176746
MAGEB6B	HGNC:28824	392433	ENSG00000232030
MAGEB10	HGNC:25377	139422	ENSG00000177689
MAGEB16	HGNC:21188	139604	ENSG00000189023
MAGEB17	HGNC:17418	645864	ENSG00000182798
MAGEB18	HGNC:28515	286514	ENSG00000176774
MAGEC1	HGNC:6812	9947	ENSG00000155495
MAGEC2	HGNC:13574	51438	ENSG00000046774
MAGEC3	HGNC:23798	139081	ENSG00000165509
MAGED1	HGNC:6813	9500	ENSG00000179222
MAGED4	HGNC:23793	728239	ENSG00000154545
MAGED4B	HGNC:22880	81557	ENSG00000187243
MAGEE1	HGNC:24934	57692	ENSG00000198934
MAGEE2	HGNC:24935	139599	ENSG00000186675
MAGEF1	HGNC:29639	64110	ENSG00000177383
MAGEH1	HGNC:24092	28986	ENSG00000187601
MAGI1	HGNC:946	9223	ENSG00000151276
MAGI3	HGNC:29647	260425	ENSG00000081026
MAGIX	HGNC:30006	79917	ENSG00000269313
MAGOH	HGNC:6815	4116	ENSG00000162385
MAGOHB	HGNC:25504	55110	ENSG00000111196
MAIP1	HGNC:26198	79568	ENSG00000162972
MAJIN	HGNC:27441	283129	ENSG00000168070
MAK16	HGNC:13703	84549	ENSG00000198042
MAL2	HGNC:13634	114569	ENSG00000147676
MALL	HGNC:6818	7851	ENSG00000144063
MALRD1	HGNC:24331	340895	ENSG00000204740
MALSU1	HGNC:21721	115416	ENSG00000156928
MAMDC2	HGNC:23673	256691	ENSG00000165072
MAMDC4	HGNC:24083	158056	ENSG00000177943
MAML1	HGNC:13632	9794	ENSG00000161021
MAML3	HGNC:16272	55534	ENSG00000196782
MAMSTR	HGNC:26689	284358	ENSG00000176909
MAN1A1	HGNC:6821	4121	ENSG00000111885
MAN1A2	HGNC:6822	10905	ENSG00000198162
MAN1C1	HGNC:19080	57134	ENSG00000117643
MAN2A1	HGNC:6824	4124	ENSG00000112893
MANBAL	HGNC:15799	63905	ENSG00000101363
MANEA	HGNC:21072	79694	ENSG00000172469
MANEAL	HGNC:26452	149175	ENSG00000185090
MANSC1	HGNC:25505	54682	ENSG00000111261
MANSC4	HGNC:40023	100287284	ENSG00000205693
MAOB	HGNC:6834	4129	ENSG00000069535
MAP1A	HGNC:6835	4130	ENSG00000166963
MAP1LC3A	HGNC:6838	84557	ENSG00000101460
MAP1LC3B	HGNC:13352	81631	ENSG00000140941
MAP1LC3B2	HGNC:34390	643246	ENSG00000258102
MAP1LC3C	HGNC:13353	440738	ENSG00000197769
MAP1S	HGNC:15715	55201	ENSG00000130479
MAP2	HGNC:6839	4133	ENSG00000078018
MAP2K3	HGNC:6843	5606	ENSG00000034152
MAP2K4	HGNC:6844	6416	ENSG00000065559
MAP2K5	HGNC:6845	5607	ENSG00000137764
MAP2K6	HGNC:6846	5608	ENSG00000108984
MAP2K7	HGNC:6847	5609	ENSG00000076984
MAP3K2	HGNC:6854	10746	ENSG00000169967
MAP3K4	HGNC:6856	4216	ENSG00000085511
MAP3K5	HGNC:6857	4217	ENSG00000197442
MAP3K7CL	HGNC:16457	56911	ENSG00000156265
MAP3K9	HGNC:6861	4293	ENSG00000006432
MAP3K10	HGNC:6849	4294	ENSG00000130758
MAP3K11	HGNC:6850	4296	ENSG00000173327
MAP3K12	HGNC:6851	7786	ENSG00000139625
MAP3K13	HGNC:6852	9175	ENSG00000073803
MAP3K15	HGNC:31689	389840	ENSG00000180815
MAP3K19	HGNC:26249	80122	ENSG00000176601
MAP3K21	HGNC:29798	84451	ENSG00000143674
MAP4	HGNC:6862	4134	ENSG00000047849
MAP4K1	HGNC:6863	11184	ENSG00000104814
MAP4K2	HGNC:6864	5871	ENSG00000168067
MAP4K3	HGNC:6865	8491	ENSG00000011566
MAP4K4	HGNC:6866	9448	ENSG00000071054
MAP4K5	HGNC:6867	11183	ENSG00000012983
MAP6	HGNC:6868	4135	ENSG00000171533
MAP6D1	HGNC:25753	79929	ENSG00000180834
MAP7	HGNC:6869	9053	ENSG00000135525
MAP7D1	HGNC:25514	55700	ENSG00000116871
MAP7D2	HGNC:25899	256714	ENSG00000184368
MAP7D3	HGNC:25742	79649	ENSG00000129680
MAP9	HGNC:26118	79884	ENSG00000164114
MAP10	HGNC:29265	54627	ENSG00000212916
MAPDA	HGNC:31853	161823	ENSG00000168803
MAPK1IP1L	HGNC:19840	93487	ENSG00000168175
MAPK3	HGNC:6877	5595	ENSG00000102882
MAPK4	HGNC:6878	5596	ENSG00000141639
MAPK6	HGNC:6879	5597	ENSG00000069956
MAPK7	HGNC:6880	5598	ENSG00000166484
MAPK8	HGNC:6881	5599	ENSG00000107643
MAPK8IP2	HGNC:6883	23542	ENSG00000008735
MAPK9	HGNC:6886	5601	ENSG00000050748
MAPK11	HGNC:6873	5600	ENSG00000185386
MAPK12	HGNC:6874	6300	ENSG00000188130
MAPK13	HGNC:6875	5603	ENSG00000156711
MAPK14	HGNC:6876	1432	ENSG00000112062
MAPK15	HGNC:24667	225689	ENSG00000181085
MAPKAP1	HGNC:18752	79109	ENSG00000119487
MAPKAPK2	HGNC:6887	9261	ENSG00000162889
MAPRE1	HGNC:6890	22919	ENSG00000101367
MAPRE3	HGNC:6892	22924	ENSG00000084764
MARCHF1	HGNC:26077	55016	ENSG00000145416
MARCHF2	HGNC:28038	51257	ENSG00000099785
MARCHF3	HGNC:28728	115123	ENSG00000173926
MARCHF4	HGNC:29269	57574	ENSG00000144583
MARCHF5	HGNC:26025	54708	ENSG00000198060
MARCHF7	HGNC:17393	64844	ENSG00000136536
MARCHF8	HGNC:23356	220972	ENSG00000165406
MARCHF9	HGNC:25139	92979	ENSG00000139266
MARCHF10	HGNC:26655	162333	ENSG00000173838
MARCHF11	HGNC:33609	441061	ENSG00000183654
MARCKS	HGNC:6759	4082	ENSG00000277443
MARCKSL1	HGNC:7142	65108	ENSG00000175130
MARCO	HGNC:6895	8685	ENSG00000019169
MARCOL	HGNC:53644	105378220	ENSG00000248109
MARF1	HGNC:29562	9665	ENSG00000166783
MARK1	HGNC:6896	4139	ENSG00000116141
MARK4	HGNC:13538	57787	ENSG00000007047
MARVELD1	HGNC:28674	83742	ENSG00000155254
MARVELD3	HGNC:30525	91862	ENSG00000140832
MAS1	HGNC:6899	4142	ENSG00000130368
MAS1L	HGNC:13961	116511	ENSG00000204687
MAST4	HGNC:19037	375449	ENSG00000069020
MAT2B	HGNC:6905	27430	ENSG00000038274
MATCAP1	HGNC:34408	653319	ENSG00000196123
MATCAP2	HGNC:22206	23366	ENSG00000164542
MATK	HGNC:6906	4145	ENSG00000007264
MATN1	HGNC:6907	4146	ENSG00000162510
MATN2	HGNC:6908	4147	ENSG00000132561
MATN4	HGNC:6910	8785	ENSG00000124159
MAU2	HGNC:29140	23383	ENSG00000129933
MAVS	HGNC:29233	57506	ENSG00000088888
MAZ	HGNC:6914	4150	ENSG00000103495
MB21D2	HGNC:30438	151963	ENSG00000180611
MBD1	HGNC:6916	4152	ENSG00000141644
MBD2	HGNC:6917	8932	ENSG00000134046
MBD3	HGNC:6918	53615	ENSG00000071655
MBD3L1	HGNC:15774	85509	ENSG00000170948
MBD3L2	HGNC:18532	125997	ENSG00000230522
MBD3L2B	HGNC:53435	729458	ENSG00000196589
MBD3L3	HGNC:37205	653657	ENSG00000182315
MBD3L4	HGNC:37206	653656	ENSG00000205718
MBD3L5	HGNC:37204	284428	ENSG00000237247
MBD6	HGNC:20445	114785	ENSG00000166987
MBIP	HGNC:20427	51562	ENSG00000151332
MBLAC1	HGNC:22180	255374	ENSG00000214309
MBLAC2	HGNC:33711	153364	ENSG00000176055
MBNL1	HGNC:6923	4154	ENSG00000152601
MBNL2	HGNC:16746	10150	ENSG00000139793
MBNL3	HGNC:20564	55796	ENSG00000076770
MBOAT1	HGNC:21579	154141	ENSG00000172197
MBOAT2	HGNC:25193	129642	ENSG00000143797
MBOAT4	HGNC:32311	619373	ENSG00000177669
MBP	HGNC:6925	4155	ENSG00000197971
MBTD1	HGNC:19866	54799	ENSG00000011258
MC5R	HGNC:6933	4161	ENSG00000176136
MCAM	HGNC:6934	4162	ENSG00000076706
MCCD1	HGNC:20668	401250	ENSG00000204511
MCEMP1	HGNC:27291	199675	ENSG00000183019
MCF2	HGNC:6940	4168	ENSG00000101977
MCF2L	HGNC:14576	23263	ENSG00000126217
MCF2L2	HGNC:30319	23101	ENSG00000053524
MCHR1	HGNC:4479	2847	ENSG00000128285
MCHR2	HGNC:20867	84539	ENSG00000152034
MCL1	HGNC:6943	4170	ENSG00000143384
MCM3	HGNC:6945	4172	ENSG00000112118
MCMBP	HGNC:25782	79892	ENSG00000197771
MCMDC2	HGNC:26368	157777	ENSG00000178460
MCOLN2	HGNC:13357	255231	ENSG00000153898
MCOLN3	HGNC:13358	55283	ENSG00000055732
MCRIP1	HGNC:28007	348262	ENSG00000225663
MCRIP2	HGNC:14142	84331	ENSG00000172366
MCRS1	HGNC:6960	10445	ENSG00000187778
MCTP1	HGNC:26183	79772	ENSG00000175471
MCTS2	HGNC:49760	100101490	ENSG00000101898
MCU	HGNC:23526	90550	ENSG00000156026
MCUB	HGNC:26076	55013	ENSG00000005059
MCUR1	HGNC:21097	63933	ENSG00000050393
MDC1	HGNC:21163	9656	ENSG00000137337
MDFI	HGNC:6967	4188	ENSG00000112559
MDFIC2	HGNC:53442	107986096	ENSG00000242120
MDGA1	HGNC:19267	266727	ENSG00000112139
MDGA2	HGNC:19835	161357	ENSG00000139915
MDH1B	HGNC:17836	130752	ENSG00000138400
MDK	HGNC:6972	4192	ENSG00000110492
MDN1	HGNC:18302	23195	ENSG00000112159
MDP1	HGNC:28781	145553	ENSG00000213920
ME1	HGNC:6983	4199	ENSG00000065833
ME2	HGNC:6984	4200	ENSG00000082212
ME3	HGNC:6985	10873	ENSG00000151376
MEA1	HGNC:6986	4201	ENSG00000124733
MEAF6	HGNC:25674	64769	ENSG00000163875
MEAK7	HGNC:29325	57707	ENSG00000140950
MED1	HGNC:9234	5469	ENSG00000125686
MED4	HGNC:17903	29079	ENSG00000136146
MED6	HGNC:19970	10001	ENSG00000133997
MED7	HGNC:2378	9443	ENSG00000155868
MED8	HGNC:19971	112950	ENSG00000159479
MED9	HGNC:25487	55090	ENSG00000141026
MED10	HGNC:28760	84246	ENSG00000133398
MED14	HGNC:2370	9282	ENSG00000180182
MED14OS	HGNC:40162	100873985	ENSG00000234636
MED15	HGNC:14248	51586	ENSG00000099917
MED18	HGNC:25944	54797	ENSG00000130772
MED19	HGNC:29600	219541	ENSG00000156603
MED20	HGNC:16840	9477	ENSG00000124641
MED21	HGNC:11473	9412	ENSG00000152944
MED22	HGNC:11477	6837	ENSG00000148297
MED24	HGNC:22963	9862	ENSG00000008838
MED26	HGNC:2376	9441	ENSG00000105085
MED28	HGNC:24628	80306	ENSG00000118579
MED29	HGNC:23074	55588	ENSG00000063322
MED30	HGNC:23032	90390	ENSG00000164758
MED31	HGNC:24260	51003	ENSG00000108590
MEDAG	HGNC:25926	84935	ENSG00000102802
MEF2B	HGNC:6995	100271849	ENSG00000213999
MEF2D	HGNC:6997	4209	ENSG00000116604
MEGF6	HGNC:3232	1953	ENSG00000162591
MEGF9	HGNC:3234	1955	ENSG00000106780
MEGF11	HGNC:29635	84465	ENSG00000157890
MEI4	HGNC:43638	101928601	ENSG00000269964
MEIG1	HGNC:23429	644890	ENSG00000197889
MEIKIN	HGNC:51253	728637	ENSG00000239642
MEIOC	HGNC:26670	284071	ENSG00000180336
MEIOSIN	HGNC:44318	388553	ENSG00000237452
MEIS1	HGNC:7000	4211	ENSG00000143995
MEIS3	HGNC:29537	56917	ENSG00000105419
MELK	HGNC:16870	9833	ENSG00000165304
MELTF	HGNC:7037	4241	ENSG00000163975
MEMO1	HGNC:14014	51072	ENSG00000162959
MEOX2	HGNC:7014	4223	ENSG00000106511
MEP1A	HGNC:7015	4224	ENSG00000112818
MEP1B	HGNC:7020	4225	ENSG00000141434
MEPCE	HGNC:20247	56257	ENSG00000146834
MEPE	HGNC:13361	56955	ENSG00000152595
MEST	HGNC:7028	4232	ENSG00000106484
METAP1	HGNC:15789	23173	ENSG00000164024
METAP1D	HGNC:32583	254042	ENSG00000172878
METAP2	HGNC:16672	10988	ENSG00000111142
METRN	HGNC:14151	79006	ENSG00000103260
METRNL	HGNC:27584	284207	ENSG00000176845
METTL1	HGNC:7030	4234	ENSG00000037897
METTL2A	HGNC:25755	339175	ENSG00000087995
METTL2B	HGNC:18272	55798	ENSG00000165055
METTL3	HGNC:17563	56339	ENSG00000165819
METTL4	HGNC:24726	64863	ENSG00000101574
METTL6	HGNC:28343	131965	ENSG00000206562
METTL8	HGNC:25856	79828	ENSG00000123600
METTL9	HGNC:24586	51108	ENSG00000197006
METTL14	HGNC:29330	57721	ENSG00000145388
METTL15	HGNC:26606	196074	ENSG00000169519
METTL16	HGNC:28484	79066	ENSG00000127804
METTL17	HGNC:19280	64745	ENSG00000165792
METTL18	HGNC:28793	92342	ENSG00000171806
METTL21A	HGNC:30476	151194	ENSG00000144401
METTL21C	HGNC:33717	196541	ENSG00000139780
METTL22	HGNC:28368	79091	ENSG00000067365
METTL24	HGNC:21566	728464	ENSG00000053328
METTL25	HGNC:26228	84190	ENSG00000127720
METTL25B	HGNC:24273	51093	ENSG00000143303
METTL26	HGNC:14141	84326	ENSG00000130731
MEX3A	HGNC:33482	92312	ENSG00000254726
MEX3B	HGNC:25297	84206	ENSG00000183496
MEX3C	HGNC:28040	51320	ENSG00000176624
MEX3D	HGNC:16734	399664	ENSG00000181588
MFAP1	HGNC:7032	4236	ENSG00000140259
MFAP2	HGNC:7033	4237	ENSG00000117122
MFAP3	HGNC:7034	4238	ENSG00000037749
MFAP3L	HGNC:29083	9848	ENSG00000198948
MFAP4	HGNC:7035	4239	ENSG00000166482
MFGE8	HGNC:7036	4240	ENSG00000140545
MFHAS1	HGNC:16982	9258	ENSG00000147324
MFN1	HGNC:18262	55669	ENSG00000171109
MFNG	HGNC:7038	4242	ENSG00000100060
MFSD1	HGNC:25874	64747	ENSG00000118855
MFSD2B	HGNC:37207	388931	ENSG00000205639
MFSD6	HGNC:24711	54842	ENSG00000151690
MFSD6L	HGNC:26656	162387	ENSG00000185156
MFSD11	HGNC:25458	79157	ENSG00000092931
MFSD12	HGNC:28299	126321	ENSG00000161091
MGAM	HGNC:7043	8972	ENSG00000257335
MGAM2	HGNC:28101	93432	ENSG00000257743
MGARP	HGNC:29969	84709	ENSG00000137463
MGAT1	HGNC:7044	4245	ENSG00000131446
MGAT3	HGNC:7046	4248	ENSG00000128268
MGAT4A	HGNC:7047	11320	ENSG00000071073
MGAT4B	HGNC:7048	11282	ENSG00000161013
MGAT4C	HGNC:30871	25834	ENSG00000182050
MGAT4D	HGNC:43619	152586	ENSG00000205301
MGAT5	HGNC:7049	4249	ENSG00000152127
MGAT5B	HGNC:24140	146664	ENSG00000167889
MGLL	HGNC:17038	11343	ENSG00000074416
MGRN1	HGNC:20254	23295	ENSG00000102858
MGST1	HGNC:7061	4257	ENSG00000008394
MGST2	HGNC:7063	4258	ENSG00000085871
MGST3	HGNC:7064	4259	ENSG00000143198
MIA	HGNC:7076	8190	ENSG00000261857
MIA2	HGNC:18432	4253	ENSG00000150527
MICA	HGNC:7090	100507436	ENSG00000204520
MICAL2	HGNC:24693	9645	ENSG00000133816
MICAL3	HGNC:24694	57553	ENSG00000243156
MICALL1	HGNC:29804	85377	ENSG00000100139
MICALL2	HGNC:29672	79778	ENSG00000164877
MICB	HGNC:7091	4277	ENSG00000204516
MICOS10	HGNC:32068	440574	ENSG00000173436
MICU3	HGNC:27820	286097	ENSG00000155970
MID1IP1	HGNC:20715	58526	ENSG00000165175
MIDEAS	HGNC:19853	91748	ENSG00000156030
MIDN	HGNC:16298	90007	ENSG00000167470
MIEN1	HGNC:28230	84299	ENSG00000141741
MIER1	HGNC:29657	57708	ENSG00000198160
MIER2	HGNC:29210	54531	ENSG00000105556
MIER3	HGNC:26678	166968	ENSG00000155545
MIF4GD	HGNC:24030	57409	ENSG00000125457
MIGA1	HGNC:24741	374986	ENSG00000180488
MIGA2	HGNC:23621	84895	ENSG00000148343
MIIP	HGNC:25715	60672	ENSG00000116691
MILR1	HGNC:27570	284021	ENSG00000271605
MIMS1	HGNC:28346	125228	ENSG00000177150
MIMS2	HGNC:16102	116151	ENSG00000124098
MINAR1	HGNC:29172	23251	ENSG00000169330
MINDY1	HGNC:25648	55793	ENSG00000143409
MINDY2	HGNC:26954	54629	ENSG00000128923
MINDY3	HGNC:23578	80013	ENSG00000148481
MINDY4	HGNC:21916	84182	ENSG00000106125
MINDY4B	HGNC:35475	646951	ENSG00000214237
MINK1	HGNC:17565	50488	ENSG00000141503
MIOS	HGNC:21905	54468	ENSG00000164654
MIOX	HGNC:14522	55586	ENSG00000100253
MIPOL1	HGNC:21460	145282	ENSG00000151338
MIS12	HGNC:24967	79003	ENSG00000167842
MIS18A	HGNC:1286	54069	ENSG00000159055
MIS18BP1	HGNC:20190	55320	ENSG00000129534
MISFA	HGNC:44122	100506540	ENSG00000247595
MISO1	HGNC:26434	285315	ENSG00000174928
MISP	HGNC:27000	126353	ENSG00000099812
MISP3	HGNC:26963	113230	ENSG00000141854
MITD1	HGNC:25207	129531	ENSG00000158411
MIX23	HGNC:31136	131076	ENSG00000160124
MIXL1	HGNC:13363	83881	ENSG00000185155
MKI67	HGNC:7107	4288	ENSG00000148773
MKLN1	HGNC:7109	4289	ENSG00000128585
MKNK1	HGNC:7110	8569	ENSG00000079277
MKNK2	HGNC:7111	2872	ENSG00000099875
MKRN1	HGNC:7112	23608	ENSG00000133606
MKRN2	HGNC:7113	23609	ENSG00000075975
MKRN2OS	HGNC:40375	100129480	ENSG00000225526
MKX	HGNC:23729	283078	ENSG00000150051
MLANA	HGNC:7124	2315	ENSG00000120215
MLDHR	HGNC:55481	133834869	ENSG00000289051
MLEC	HGNC:28973	9761	ENSG00000110917
MLF1	HGNC:7125	4291	ENSG00000178053
MLF2	HGNC:7126	8079	ENSG00000089693
MLKL	HGNC:26617	197259	ENSG00000168404
MLLT1	HGNC:7134	4298	ENSG00000130382
MLLT6	HGNC:7138	4302	ENSG00000275023
MLLT11	HGNC:16997	10962	ENSG00000213190
MLN	HGNC:7141	4295	ENSG00000096395
MLNR	HGNC:4495	2862	ENSG00000102539
MLST8	HGNC:24825	64223	ENSG00000167965
MLXIP	HGNC:17055	22877	ENSG00000175727
MMD	HGNC:7153	23531	ENSG00000108960
MMD2	HGNC:30133	221938	ENSG00000136297
MMGT1	HGNC:28100	93380	ENSG00000169446
MMP7	HGNC:7174	4316	ENSG00000137673
MMP8	HGNC:7175	4317	ENSG00000118113
MMP10	HGNC:7156	4319	ENSG00000166670
MMP11	HGNC:7157	4320	ENSG00000099953
MMP12	HGNC:7158	4321	ENSG00000262406
MMP15	HGNC:7161	4324	ENSG00000102996
MMP16	HGNC:7162	4325	ENSG00000156103
MMP17	HGNC:7163	4326	ENSG00000198598
MMP24	HGNC:7172	10893	ENSG00000125966
