pair_id,gene_concept_id,gene_curie,gene_label,disease_concept_id,disease_curie,disease_label,seed_phenotype_count,seed_phenotype_rarity_score,shared_phenotype_count,shared_phenotype_rarity_score,phenotype_jaccard,shared_ratio_to_gene,shared_ratio_to_disease,gene_alias_count,gene_member_count,gene_xref_count,gene_phenotype_count,gene_out_degree,disease_alias_count,disease_member_count,disease_xref_count,disease_phenotype_count,disease_lacks_phenotype_count,disease_in_degree,disease_out_degree,disease_trial_count
5375cc2c9eba51a428453e92c3166667,51285,NCBIGene:2177,FANCD2,9215,MONDO:0009215,Fanconi anemia complementation group A,8,2.183333333333333,128,4.5061440832325275,0.7529411764705882,0.8152866242038217,0.9078014184397163,1,2,0,157,163,17,1,7,141,0,10,143,8
96452e4cf196692b0cdf62181a488ac9,51286,NCBIGene:2178,FANCE,9215,MONDO:0009215,Fanconi anemia complementation group A,8,2.183333333333333,128,4.4535366165911645,0.8421052631578947,0.920863309352518,0.9078014184397163,1,2,0,139,145,17,1,7,141,0,10,143,8
96c76a1a55ff25a606b5da32bb0d477d,51284,NCBIGene:2176,FANCC,9215,MONDO:0009215,Fanconi anemia complementation group A,7,2.0166666666666666,127,4.450896162273997,0.7839506172839507,0.8581081081081081,0.900709219858156,1,2,0,148,155,17,1,7,141,0,10,143,8
9e94a673d1b78fff8b04fee307e911ae,51026,NCBIGene:1387,CREBBP,58427,ORPHA:353284,Rubinstein-Taybi syndrome due to EP300 haploinsufficiency,4,1.5,123,7.434216246072556,0.2679738562091503,0.2679738562091503,1,1,2,0,459,471,1,1,0,123,0,1,123,0
4feeb1ba5c41b3624668945a3a2e0289,51232,NCBIGene:2033,EP300,58504,ORPHA:353277,Rubinstein-Taybi syndrome due to CREBBP mutations,4,1.5,122,5.421306984549864,0.3495702005730659,0.3495702005730659,1,1,2,0,349,363,1,1,0,122,0,1,122,0
a1efb5f35aa370de5b0b302714bfdb3c,54434,NCBIGene:55215,FANCI,9215,MONDO:0009215,Fanconi anemia complementation group A,8,1.9583333333333333,115,3.710328326827619,0.6460674157303371,0.756578947368421,0.8156028368794326,1,2,0,152,158,17,1,7,141,0,10,143,8
d4d1f4fe3b8f8d39099d7b969a5e1643,54871,NCBIGene:79728,PALB2,9215,MONDO:0009215,Fanconi anemia complementation group A,5,1.5666666666666667,114,3.6205005945610984,0.5816326530612245,0.6745562130177515,0.8085106382978723,1,2,0,169,186,17,1,7,141,0,10,143,8
8cb7c49f294535c9c84c920e4ad066ef,55081,NCBIGene:84464,SLX4,9215,MONDO:0009215,Fanconi anemia complementation group A,8,1.9583333333333333,113,3.607451258818578,0.7290322580645161,0.889763779527559,0.8014184397163121,1,2,0,127,133,17,1,7,141,0,10,143,8
9d1eed4312674e83f068df2ce8b293f3,53490,NCBIGene:10297,APC2,19349,MONDO:0019349,Sotos syndrome,7,1.625,112,3.20619338068576,0.4765957446808511,0.7516778523489933,0.5656565656565656,1,2,0,149,154,12,1,17,198,0,3,202,0
07d84188cb5d1b90e06168511ba71d3a,51290,NCBIGene:2187,FANCB,9215,MONDO:0009215,Fanconi anemia complementation group A,5,1.5666666666666667,111,3.7694931890454337,0.4826086956521739,0.555,0.7872340425531915,1,2,0,200,208,17,1,7,141,0,10,143,8
28ade002e47c3bd13e313a12db72c219,54404,NCBIGene:55120,FANCL,9215,MONDO:0009215,Fanconi anemia complementation group A,7,1.8583333333333334,111,3.636121807705668,0.6342857142857142,0.7655172413793103,0.7872340425531915,1,2,0,145,151,17,1,7,141,0,10,143,8
6f2e2ac8442cd4053b17af8aa94a3f2a,51291,NCBIGene:2188,FANCF,9215,MONDO:0009215,Fanconi anemia complementation group A,7,1.8583333333333334,111,3.6044225490331936,0.6453488372093024,0.7816901408450704,0.7872340425531915,1,2,0,142,148,17,1,7,141,0,10,143,8
5871b4cc35ad7411f1eb229c9422b40b,52937,NCBIGene:7516,XRCC2,9215,MONDO:0009215,Fanconi anemia complementation group A,5,1.5666666666666667,111,3.575300260624345,0.6568047337278107,0.7985611510791367,0.7872340425531915,1,2,0,139,148,17,1,7,141,0,10,143,8
2b8a877437d68bf7707744e59eeaf0bc,54082,NCBIGene:29089,UBE2T,9215,MONDO:0009215,Fanconi anemia complementation group A,8,1.9583333333333333,110,3.56051375677385,0.7333333333333333,0.9243697478991597,0.7801418439716312,1,2,0,119,122,17,1,7,141,0,10,143,8
82ceea3123453b69382d6d250994a9e9,52412,NCBIGene:5889,RAD51C,9215,MONDO:0009215,Fanconi anemia complementation group A,6,1.7333333333333334,110,3.513940726237636,0.6626506024096386,0.8148148148148148,0.7801418439716312,1,2,0,135,148,17,1,7,141,0,10,143,8
811f3c12165b191640283da4fee30a72,55032,NCBIGene:83990,BRIP1,9215,MONDO:0009215,Fanconi anemia complementation group A,7,1.8583333333333334,109,3.5714526183141166,0.6942675159235668,0.872,0.7730496453900709,1,2,0,125,136,17,1,7,141,0,10,143,8
e36e277ea4f42f3e41f3765d310990a6,53524,NCBIGene:10459,MAD2L2,9215,MONDO:0009215,Fanconi anemia complementation group A,8,1.9583333333333333,109,3.5478682102030836,0.7364864864864865,0.9396551724137931,0.7730496453900709,1,2,0,116,119,17,1,7,141,0,10,143,8
e298467fb9770d544427dc3b9edd16f0,51292,NCBIGene:2189,FANCG,9215,MONDO:0009215,Fanconi anemia complementation group A,8,1.9583333333333333,108,3.6574004979652006,0.72,0.9230769230769231,0.7659574468085106,1,2,0,117,123,17,1,7,141,0,10,143,8
3ca618a781fbb7f57117d8e5523f8e9d,52411,NCBIGene:5888,RAD51,9215,MONDO:0009215,Fanconi anemia complementation group A,6,1.7333333333333334,108,3.574906321606881,0.5567010309278351,0.6708074534161491,0.7659574468085106,1,2,0,161,174,17,1,7,141,0,10,143,8
bed7aa2a02359b8d5daf61ea6b5267f6,54416,NCBIGene:55159,RFWD3,9215,MONDO:0009215,Fanconi anemia complementation group A,7,1.8583333333333334,108,3.5124408845651884,0.6878980891719745,0.8709677419354839,0.7659574468085106,1,2,0,124,127,17,1,7,141,0,10,143,8
89bb5e23dfd3a0ce4e2273639218bb23,54675,NCBIGene:57697,FANCM,9215,MONDO:0009215,Fanconi anemia complementation group A,6,1.7333333333333334,108,3.4891440437365238,0.6708074534161491,0.84375,0.7659574468085106,1,2,0,128,134,17,1,7,141,0,10,143,8
8cf7e77933a8b9b60d14359424ede9e9,50788,NCBIGene:672,BRCA1,9215,MONDO:0009215,Fanconi anemia complementation group A,5,1.5666666666666667,107,3.5002593085141225,0.47555555555555556,0.5602094240837696,0.7588652482269503,1,2,0,191,211,17,1,7,141,0,10,143,8
a144d6ac14146b743e63fdb442ee8db0,54498,NCBIGene:55699,IARS2,9723,MONDO:0009723,Leigh syndrome,7,1.8055555555555556,102,3.5786812489964923,0.4594594594594595,0.5340314136125655,0.7669172932330827,1,2,0,191,195,20,1,16,133,0,53,135,1
779b100abad9b399f03c14d57be7c8d6,50735,NCBIGene:526,ATP6V1B2,9079,MONDO:0009079,DOORS syndrome,4,3.3333333333333335,99,5.691546374849355,0.4107883817427386,0.5051020408163265,0.6875,1,2,0,196,203,16,1,9,144,0,2,146,0
59190f3d5ca0ff0d61e80e091d13ecb6,53772,NCBIGene:23096,IQSEC2,8434,MONDO:0008434,Smith-Magenis syndrome,7,6.083333333333333,97,7.318314216212032,0.41810344827586204,0.6830985915492958,0.5187165775401069,1,2,0,142,147,9,1,15,187,0,5,192,3
